WKT,Nombre,Descripción
"POINT (-77.0867141 -11.8677843)",8,
"POINT (-77.0907523 -11.8684856)",20,
"POINT (-77.0914182 -11.8689105)",33,
"POINT (-77.0918018 -11.8700547)",39,
"POINT (-77.0943469 -11.8716061)",79,
"POINT (-77.0940522 -11.8719567)",86,
"POINT (-77.0937464 -11.8717888)",102,
"POINT (-77.0914135 -11.8708212)",113,
"POINT (-77.0903513 -11.8718941)",131,
"POINT (-77.0902717 -11.8719119)",132,
"POINT (-77.0886987 -11.8724125)",152,
"POINT (-77.0912629 -11.8745321)",170,
"POINT (-77.0919017 -11.8744898)",171,
"POINT (-77.0917074 -11.8760657)",183,
"POINT (-77.0912166 -11.8764738)",186,
"POINT (-77.0897818 -11.875105)",190,
"POINT (-77.0884747 -11.8744795)",199,
"POINT (-77.0871939 -11.8768299)",208,
"POINT (-77.0861687 -11.8767717)",218,
"POINT (-77.0857288 -11.8773072)",220,
"POINT (-77.0854231 -11.8767979)",223,
"POINT (-77.0872485 -11.8761309)",234,
"POINT (-77.0862024 -11.8757254)",236,
"POINT (-77.0868091 -11.8738894)",249,
"POINT (-77.0869808 -11.8743671)",251,
"POINT (-77.0835851 -11.8689547)",274,
"POINT (-77.084458 -11.8688196)",276,
"POINT (-77.0826796 -11.8700835)",291,
"POINT (-77.0818419 -11.8705418)",303,
"POINT (-77.0820678 -11.8718315)",306,
"POINT (-77.0835594 -11.8728898)",310,
"POINT (-77.0805205 -11.8751314)",322,
"POINT (-77.0776101 -11.8750317)",329,
"POINT (-77.076646 -11.8818528)",339,
"POINT (-77.076583 -11.8824302)",341,
"POINT (-77.0764174 -11.8826664)",344,
"POINT (-77.0763535 -11.8832285)",347,
"POINT (-77.0761224 -11.8833916)",349,
"POINT (-77.0757401 -11.8818469)",357,
"POINT (-77.0767575 -11.8808492)",362,
"POINT (-77.0762908 -11.8795001)",368,
"POINT (-77.0751124 -11.8783076)",371,
"POINT (-77.0764696 -11.8782656)",373,
"POINT (-77.0755307 -11.8777985)",377,
"POINT (-77.0768759 -11.876301)",387,
"POINT (-77.0758341 -11.8740423)",402,
"POINT (-77.0730882 -11.8749859)",409,
"POINT (-77.0736327 -11.8751658)",411,
"POINT (-77.0722045 -11.8749768)",427,
"POINT (-77.0719899 -11.8751238)",429,
"POINT (-77.0718678 -11.8755214)",431,
"POINT (-77.0719955 -11.8756704)",432,
"POINT (-77.0726661 -11.8763686)",439,
"POINT (-77.072017 -11.8774762)",444,
"POINT (-77.0692865 -11.8760116)",448,
"POINT (-77.0716486 -11.8793197)",457,
"POINT (-77.0738057 -11.8795517)",459,
"POINT (-77.0743019 -11.8804363)",482,
"POINT (-77.0717941 -11.8823306)",491,
"POINT (-77.0725126 -11.8834858)",501,
"POINT (-77.073024 -11.8835765)",502,
"POINT (-77.0739735 -11.8835817)",503,
"POINT (-77.0696686 -11.8861603)",534,
"POINT (-77.0733813 -11.8872394)",554,
"POINT (-77.0720938 -11.8872236)",556,
"POINT (-77.0722601 -11.8882578)",575,
"POINT (-77.073746 -11.8891344)",581,
"POINT (-77.0737836 -11.8896226)",583,
"POINT (-77.0738641 -11.8912078)",595,
"POINT (-77.0733704 -11.891958)",601,
"POINT (-77.072437 -11.8929239)",604,
"POINT (-77.0718898 -11.8924987)",607,
"POINT (-77.0700223 -11.8917597)",625,
"POINT (-77.0708641 -11.898495)",637,
"POINT (-77.0705047 -11.904395)",672,
"POINT (-77.0695847 -11.9065943)",689,
"POINT (-77.0706823 -11.9060323)",721,
"POINT (-77.0709291 -11.9049878)",724,724 cambiado por 674 por ser parque o sospecha de ausencia de casas
"POINT (-77.0718786 -11.9057961)",732,
"POINT (-77.0719858 -11.9053604)",734,
"POINT (-77.0737561 -11.9057174)",740,
"POINT (-77.072694 -11.9057647)",744,
"POINT (-77.0729461 -11.9058643)",745,
"POINT (-77.0732572 -11.9059589)",746,
"POINT (-77.0735844 -11.9058066)",748,
"POINT (-77.0713958 -11.9065809)",762,
"POINT (-77.0715755 -11.9070428)",766,
"POINT (-77.071377 -11.9076464)",770,
"POINT (-77.0715567 -11.9073341)",775,
"POINT (-77.0737373 -11.9065809)",783,
"POINT (-77.0730239 -11.9068276)",782,
"POINT (-77.076742 -11.9044176)",796,
"POINT (-77.0771658 -11.9046434)",797,
"POINT (-77.079056 -11.9033415)",809,
"POINT (-77.0798875 -11.9038769)",807,
"POINT (-77.0751712 -11.9061714)",841,
"POINT (-77.0756916 -11.9068013)",856,
"POINT (-77.0760563 -11.9071477)",868,
"POINT (-77.0761207 -11.908082)",882,
"POINT (-77.0787064 -11.907776)",910,
"POINT (-77.0879589 -11.9055066)",936,
"POINT (-77.0879429 -11.9078686)",941,
